"","Data","Method","metric","slice","difference","Df","T","p-value"," "
"36","Mammaliaformes","Slices:DELTRAN","centroid","85:80",-0.29,33,-0.988,1," "
"37","Mammaliaformes","Slices:DELTRAN","centroid","80:75",0.43,31,1.302,1," "
"38","Mammaliaformes","Slices:DELTRAN","centroid","75:70",0.44,23,0.901,1," "
"39","Mammaliaformes","Slices:DELTRAN","centroid","70:65",-0.31,21,-0.567,1," "
"40","Mammaliaformes","Slices:DELTRAN","centroid","65:60",0.69,19,1.061,1," "
"41","Mammaliaformes","Slices:DELTRAN","centroid","60:55",-0.22,17,-0.288,1," "
"42","Mammaliaformes","Slices:DELTRAN","centroid","55:50",-0.21,19,-0.315,1," "
"43","Mammaliaformes","Slices:DELTRAN","centroid","50:45",-0.3,23,-0.602,1," "
"44","Mammaliaformes","Slices:DELTRAN","centroid","45:40",-0.1,27,-0.256,1," "
"45","Mammaliaformes","Slices:DELTRAN","centroid","40:35",-0.12,30,-0.383,1," "
"46","Mammaliaformes","Slices:DELTRAN","centroid","35:30",-0.08,33,-0.31,1," "
"47","Mammaliaformes","Slices:DELTRAN","centroid","30:25",-0.04,36,-0.181,1," "
"48","Mammaliaformes","Slices:DELTRAN","centroid","25:20",-0.11,39,-0.504,1," "
"49","Mammaliaformes","Slices:DELTRAN","centroid","20:15",0.1,39,0.428,1," "
"50","Mammaliaformes","Slices:DELTRAN","centroid","15:10",0,38,0.005,1," "
"51","Mammaliaformes","Slices:DELTRAN","centroid","10:5",0,38,-0.01,1," "
"52","Mammaliaformes","Slices:DELTRAN","centroid","5:0",-0.52,38,-2.625,0.42207," "
"53","Mammaliaformes","Slices:gradual","centroid","170:165",-0.1,47,-0.513,1," "
"54","Mammaliaformes","Slices:gradual","centroid","165:160",0.1,45,0.527,1," "
"55","Mammaliaformes","Slices:gradual","centroid","160:155",-0.09,42,-0.492,1," "
"56","Mammaliaformes","Slices:gradual","centroid","155:150",0.56,34,2.162,1," "
"57","Mammaliaformes","Slices:gradual","centroid","150:145",-0.22,30,-0.688,1," "
"58","Mammaliaformes","Slices:gradual","centroid","145:140",-0.01,31,-0.023,1," "
"59","Mammaliaformes","Slices:gradual","centroid","140:135",-0.17,36,-0.711,1," "
"60","Mammaliaformes","Slices:gradual","centroid","135:130",-0.21,43,-1.073,1," "
"61","Mammaliaformes","Slices:gradual","centroid","130:125",0.08,42,0.481,1," "
"62","Mammaliaformes","Slices:gradual","centroid","125:120",0.51,33,1.764,1," "
"63","Mammaliaformes","Slices:gradual","centroid","120:115",-0.11,26,-0.284,1," "
"64","Mammaliaformes","Slices:gradual","centroid","115:110",0.26,24,0.649,1," "
"65","Mammaliaformes","Slices:gradual","centroid","110:105",-0.04,22,-0.087,1," "
"66","Mammaliaformes","Slices:gradual","centroid","105:100",-0.12,24,-0.279,1," "
"67","Mammaliaformes","Slices:gradual","centroid","100:95",-0.12,29,-0.37,1," "
"68","Mammaliaformes","Slices:gradual","centroid","95:90",-0.03,31,-0.106,1," "
"69","Mammaliaformes","Slices:gradual","centroid","90:85",0.04,30,0.132,1," "
"70","Mammaliaformes","Slices:gradual","centroid","85:80",-0.21,33,-0.77,1," "
"71","Mammaliaformes","Slices:gradual","centroid","80:75",0.34,31,1.15,1," "
"72","Mammaliaformes","Slices:gradual","centroid","75:70",0.71,23,1.415,1," "
"73","Mammaliaformes","Slices:gradual","centroid","70:65",-0.42,21,-0.741,1," "
"74","Mammaliaformes","Slices:gradual","centroid","65:60",0.46,19,0.765,1," "
"75","Mammaliaformes","Slices:gradual","centroid","60:55",-0.07,17,-0.102,1," "
"76","Mammaliaformes","Slices:gradual","centroid","55:50",-0.29,19,-0.478,1," "
"77","Mammaliaformes","Slices:gradual","centroid","50:45",-0.18,23,-0.41,1," "
"78","Mammaliaformes","Slices:gradual","centroid","45:40",-0.16,27,-0.472,1," "
"79","Mammaliaformes","Slices:gradual","centroid","40:35",-0.12,30,-0.39,1," "
"80","Mammaliaformes","Slices:gradual","centroid","35:30",-0.06,33,-0.212,1," "
"81","Mammaliaformes","Slices:gradual","centroid","30:25",-0.08,36,-0.326,1," "
"82","Mammaliaformes","Slices:gradual","centroid","25:20",-0.21,39,-0.871,1," "
"83","Mammaliaformes","Slices:gradual","centroid","20:15",-0.08,39,-0.362,1," "
"84","Mammaliaformes","Slices:gradual","centroid","15:10",-0.09,38,-0.483,1," "
"85","Mammaliaformes","Slices:gradual","centroid","10:5",-0.01,38,-0.046,1," "
"86","Mammaliaformes","Slices:gradual","centroid","5:0",0,38,0.028,1," "
"87","Mammaliaformes","Intervals:tips","sum.range","170.3-166.1:166.1-163.5",-2.15,11,-0.386,1," "
"88","Mammaliaformes","Intervals:tips","sum.range","166.1-163.5:163.5-157.3",11.78,9,1.804,1," "
"89","Mammaliaformes","Intervals:tips","sum.range","163.5-157.3:157.3-152.1",-21.26,13,-3.586,0.0598,"."
"90","Mammaliaformes","Intervals:tips","sum.range","157.3-152.1:152.1-145",3.71,18,0.806,1," "
"91","Mammaliaformes","Intervals:tips","sum.range","152.1-145:145-139.8",13.55,12,2.267,0.76739," "
"92","Mammaliaformes","Intervals:tips","sum.range","145-139.8:139.8-132.9",5.58,7,0.786,1," "
"93","Mammaliaformes","Intervals:tips","sum.range","139.8-132.9:132.9-129.4",-3.4,7,-0.5,1," "
"94","Mammaliaformes","Intervals:tips","sum.range","132.9-129.4:129.4-125",-25.06,18,-4.724,0.00305,"**"
"95","Mammaliaformes","Intervals:tips","sum.range","129.4-125:125-113",2.8,26,0.726,1," "
"96","Mammaliaformes","Intervals:tips","sum.range","125-113:113-100.5",6.83,20,1.548,1," "
"97","Mammaliaformes","Intervals:tips","sum.range","113-100.5:100.5-93.9",13.54,12,2.313,0.70669," "
"98","Mammaliaformes","Intervals:tips","sum.range","100.5-93.9:93.9-89.8",5.16,7,0.728,1," "
"99","Mammaliaformes","Intervals:tips","sum.range","93.9-89.8:89.8-86.3",-5.04,7,-0.717,1," "
"100","Mammaliaformes","Intervals:tips","sum.range","89.8-86.3:86.3-83.6",5.52,7,0.784,1," "
"101","Mammaliaformes","Intervals:tips","sum.range","86.3-83.6:83.6-72.1",-23.06,14,-4.114,0.01894,"*"
"102","Mammaliaformes","Intervals:tips","sum.range","83.6-72.1:72.1-66",8.59,18,1.988,1," "
"103","Mammaliaformes","Intervals:tips","sum.range","72.1-66:66-61.6",7.26,12,1.424,1," "
"104","Mammaliaformes","Intervals:tips","sum.range","66-61.6:61.6-0",-29.28,26,-5.663,0.00011,"***"
"105","Mammaliaformes","Slices:DELTRAN","sum.range","170:165",-33.73,47,-0.798,1," "
"106","Mammaliaformes","Slices:DELTRAN","sum.range","165:160",22.26,45,0.489,1," "
"107","Mammaliaformes","Slices:DELTRAN","sum.range","160:155",-44.28,42,-1.011,1," "
"108","Mammaliaformes","Slices:DELTRAN","sum.range","155:150",132.45,34,3.064,0.14452," "
"109","Mammaliaformes","Slices:DELTRAN","sum.range","150:145",-45.84,30,-1.03,1," "
"110","Mammaliaformes","Slices:DELTRAN","sum.range","145:140",33.46,31,0.742,1," "
"111","Mammaliaformes","Slices:DELTRAN","sum.range","140:135",-74.57,36,-1.705,1," "
"112","Mammaliaformes","Slices:DELTRAN","sum.range","135:130",-36,43,-0.808,1," "
"113","Mammaliaformes","Slices:DELTRAN","sum.range","130:125",-32.62,42,-0.728,1," "
"114","Mammaliaformes","Slices:DELTRAN","sum.range","125:120",150.37,33,3.406,0.0595,"."
"115","Mammaliaformes","Slices:DELTRAN","sum.range","120:115",-14.84,26,-0.332,1," "
"116","Mammaliaformes","Slices:DELTRAN","sum.range","115:110",53.47,24,1.122,1," "
"117","Mammaliaformes","Slices:DELTRAN","sum.range","110:105",-29.57,22,-0.582,1," "
"118","Mammaliaformes","Slices:DELTRAN","sum.range","105:100",-14.42,24,-0.299,1," "
"119","Mammaliaformes","Slices:DELTRAN","sum.range","100:95",-22.7,29,-0.579,1," "
"120","Mammaliaformes","Slices:DELTRAN","sum.range","95:90",11.4,31,0.327,1," "
"121","Mammaliaformes","Slices:DELTRAN","sum.range","90:85",-2.89,30,-0.079,1," "
"122","Mammaliaformes","Slices:DELTRAN","sum.range","85:80",-84.86,33,-1.959,1," "
"123","Mammaliaformes","Slices:DELTRAN","sum.range","80:75",90.33,31,1.837,1," "
"124","Mammaliaformes","Slices:DELTRAN","sum.range","75:70",90.68,23,1.883,1," "
"125","Mammaliaformes","Slices:DELTRAN","sum.range","70:65",-57.22,21,-1.251,1," "
"126","Mammaliaformes","Slices:DELTRAN","sum.range","65:60",84.8,19,1.702,1," "
"127","Mammaliaformes","Slices:DELTRAN","sum.range","60:55",-25.47,17,-0.557,1," "
"128","Mammaliaformes","Slices:DELTRAN","sum.range","55:50",-23.27,19,-0.529,1," "
"129","Mammaliaformes","Slices:DELTRAN","sum.range","50:45",-28.46,23,-0.744,1," "
"130","Mammaliaformes","Slices:DELTRAN","sum.range","45:40",-12.79,27,-0.379,1," "
"131","Mammaliaformes","Slices:DELTRAN","sum.range","40:35",-14.67,30,-0.433,1," "
"132","Mammaliaformes","Slices:DELTRAN","sum.range","35:30",-12.37,33,-0.372,1," "
"133","Mammaliaformes","Slices:DELTRAN","sum.range","30:25",-13.49,36,-0.419,1," "
"134","Mammaliaformes","Slices:DELTRAN","sum.range","25:20",-32.69,39,-0.928,1," "
"135","Mammaliaformes","Slices:DELTRAN","sum.range","20:15",26.1,39,0.731,1," "
"136","Mammaliaformes","Slices:DELTRAN","sum.range","15:10",0.07,38,0.002,1," "
"137","Mammaliaformes","Slices:DELTRAN","sum.range","10:5",1.75,38,0.054,1," "
"138","Mammaliaformes","Slices:DELTRAN","sum.range","5:0",-29.42,38,-0.8,1," "
"139","Mammaliaformes","Slices:gradual","sum.range","170:165",-7.76,47,-0.194,1," "
"140","Mammaliaformes","Slices:gradual","sum.range","165:160",12.23,45,0.304,1," "
"141","Mammaliaformes","Slices:gradual","sum.range","160:155",-0.22,42,-0.006,1," "
"142","Mammaliaformes","Slices:gradual","sum.range","155:150",116.27,34,2.77,0.30694," "
"143","Mammaliaformes","Slices:gradual","sum.range","150:145",-40.83,30,-0.885,1," "
"144","Mammaliaformes","Slices:gradual","sum.range","145:140",0.53,31,0.012,1," "
"145","Mammaliaformes","Slices:gradual","sum.range","140:135",-60.2,36,-1.325,1," "
"146","Mammaliaformes","Slices:gradual","sum.range","135:130",-47.89,43,-1.172,1," "
"147","Mammaliaformes","Slices:gradual","sum.range","130:125",24.75,42,0.627,1," "
"148","Mammaliaformes","Slices:gradual","sum.range","125:120",114.69,33,2.608,0.46192," "
"149","Mammaliaformes","Slices:gradual","sum.range","120:115",-7.42,26,-0.163,1," "
"150","Mammaliaformes","Slices:gradual","sum.range","115:110",41.91,24,0.896,1," "
"151","Mammaliaformes","Slices:gradual","sum.range","110:105",-0.71,22,-0.015,1," "
"152","Mammaliaformes","Slices:gradual","sum.range","105:100",-32.22,24,-0.673,1," "
"153","Mammaliaformes","Slices:gradual","sum.range","100:95",-42.01,29,-0.918,1," "
"154","Mammaliaformes","Slices:gradual","sum.range","95:90",6.63,31,0.152,1," "
"155","Mammaliaformes","Slices:gradual","sum.range","90:85",0.08,30,0.002,1," "
"156","Mammaliaformes","Slices:gradual","sum.range","85:80",-25.2,33,-0.565,1," "
"157","Mammaliaformes","Slices:gradual","sum.range","80:75",70.03,31,1.584,1," "
"158","Mammaliaformes","Slices:gradual","sum.range","75:70",102.95,23,2.178,1," "
"159","Mammaliaformes","Slices:gradual","sum.range","70:65",-59.77,21,-1.285,1," "
"160","Mammaliaformes","Slices:gradual","sum.range","65:60",77.9,19,1.633,1," "
"161","Mammaliaformes","Slices:gradual","sum.range","60:55",-7.46,17,-0.171,1," "
"162","Mammaliaformes","Slices:gradual","sum.range","55:50",-34.11,19,-0.848,1," "
"163","Mammaliaformes","Slices:gradual","sum.range","50:45",-25.55,23,-0.684,1," "
"164","Mammaliaformes","Slices:gradual","sum.range","45:40",-50.76,27,-1.216,1," "
"165","Mammaliaformes","Slices:gradual","sum.range","40:35",-27.65,30,-0.585,1," "
"166","Mammaliaformes","Slices:gradual","sum.range","35:30",-16.82,33,-0.344,1," "
"167","Mammaliaformes","Slices:gradual","sum.range","30:25",-27.99,36,-0.571,1," "
"168","Mammaliaformes","Slices:gradual","sum.range","25:20",-45.55,39,-0.968,1," "
"169","Mammaliaformes","Slices:gradual","sum.range","20:15",45.59,39,1.059,1," "
"170","Mammaliaformes","Slices:gradual","sum.range","15:10",43.39,38,1.125,1," "
"171","Mammaliaformes","Slices:gradual","sum.range","10:5",1.04,38,0.027,1," "
"172","Mammaliaformes","Slices:gradual","sum.range","5:0",-0.58,38,-0.015,1," "
"173","Mammaliaformes","Intervals:tips","product.range","170.3-166.1:166.1-163.5",0,11,-0.059,1," "
"174","Mammaliaformes","Intervals:tips","product.range","166.1-163.5:163.5-157.3",0,9,0.083,1," "
"175","Mammaliaformes","Intervals:tips","product.range","163.5-157.3:157.3-152.1",0,13,-0.072,1," "
"176","Mammaliaformes","Intervals:tips","product.range","157.3-152.1:152.1-145",0,18,0.104,1," "
"177","Mammaliaformes","Intervals:tips","product.range","152.1-145:145-139.8",0,12,0.036,1," "
"178","Mammaliaformes","Intervals:tips","product.range","145-139.8:139.8-132.9",0,7,0.264,1," "
"179","Mammaliaformes","Intervals:tips","product.range","139.8-132.9:132.9-129.4",0,7,-0.223,1," "
"180","Mammaliaformes","Intervals:tips","product.range","132.9-129.4:129.4-125",0,18,-0.072,1," "
"181","Mammaliaformes","Intervals:tips","product.range","129.4-125:125-113",0,26,0.114,1," "
"182","Mammaliaformes","Intervals:tips","product.range","125-113:113-100.5",0,20,0.077,1," "
"183","Mammaliaformes","Intervals:tips","product.range","113-100.5:100.5-93.9",0,12,0.042,1," "
"184","Mammaliaformes","Intervals:tips","product.range","100.5-93.9:93.9-89.8",0,7,0.248,1," "
"185","Mammaliaformes","Intervals:tips","product.range","93.9-89.8:89.8-86.3",0,7,-0.245,1," "
"186","Mammaliaformes","Intervals:tips","product.range","89.8-86.3:86.3-83.6",0,7,0.245,1," "
"187","Mammaliaformes","Intervals:tips","product.range","86.3-83.6:83.6-72.1",0,14,-0.073,1," "
"188","Mammaliaformes","Intervals:tips","product.range","83.6-72.1:72.1-66",0,18,0.102,1," "
"189","Mammaliaformes","Intervals:tips","product.range","72.1-66:66-61.6",0,12,0.08,1," "
"190","Mammaliaformes","Intervals:tips","product.range","66-61.6:61.6-0",0,26,-0.087,1," "
"191","Mammaliaformes","Slices:DELTRAN","product.range","170:165",-6.96325770618918e+85,47,-0.054,1," "
"192","Mammaliaformes","Slices:DELTRAN","product.range","165:160",6.92837138477655e+85,45,0.051,1," "
"193","Mammaliaformes","Slices:DELTRAN","product.range","160:155",3.48863215435447e+83,42,0.085,1," "
"194","Mammaliaformes","Slices:DELTRAN","product.range","155:150",2.30015702015182e+43,34,0.043,1," "
"195","Mammaliaformes","Slices:DELTRAN","product.range","150:145",-3.95560367868918e+30,30,-0.078,1," "
"196","Mammaliaformes","Slices:DELTRAN","product.range","145:140",3.95560366610228e+30,31,0.08,1," "
"197","Mammaliaformes","Slices:DELTRAN","product.range","140:135",-2.44964739056502e+81,36,-0.049,1," "
"198","Mammaliaformes","Slices:DELTRAN","product.range","135:130",-2.22854766701066e+90,43,-0.073,1," "
"199","Mammaliaformes","Slices:DELTRAN","product.range","130:125",-2.2073528433169e+95,42,-0.035,1," "
"200","Mammaliaformes","Slices:DELTRAN","product.range","125:120",2.2073751287936e+95,33,0.028,1," "
"201","Mammaliaformes","Slices:DELTRAN","product.range","120:115",-4.57789071372924e+75,26,-0.06,1," "
"202","Mammaliaformes","Slices:DELTRAN","product.range","115:110",4.57790180063567e+75,24,0.056,1," "
"203","Mammaliaformes","Slices:DELTRAN","product.range","110:105",-2.00152463356733e+74,22,-0.092,1," "
"204","Mammaliaformes","Slices:DELTRAN","product.range","105:100",1.96264793158396e+74,24,0.097,1," "
"205","Mammaliaformes","Slices:DELTRAN","product.range","100:95",3.53235155246154e+72,29,0.102,1," "
"206","Mammaliaformes","Slices:DELTRAN","product.range","95:90",3.54115799787901e+71,31,0.052,1," "
"207","Mammaliaformes","Slices:DELTRAN","product.range","90:85",-1.2753441428513e+69,30,-0.027,1," "
"208","Mammaliaformes","Slices:DELTRAN","product.range","85:80",-7.09730882528618e+89,33,-0.048,1," "
"209","Mammaliaformes","Slices:DELTRAN","product.range","80:75",7.09730882528077e+89,31,0.045,1," "
"210","Mammaliaformes","Slices:DELTRAN","product.range","75:70",5.40645236934434e+77,23,0.137,1," "
"211","Mammaliaformes","Slices:DELTRAN","product.range","70:65",-2.78586477543181e+70,21,-0.124,1," "
"212","Mammaliaformes","Slices:DELTRAN","product.range","65:60",2.78586477543181e+70,19,0.113,1," "
"213","Mammaliaformes","Slices:DELTRAN","product.range","60:55",-7.55584087057825e+53,17,-0.308,1," "
"214","Mammaliaformes","Slices:DELTRAN","product.range","55:50",-6.47588207809815e+58,19,-0.219,1," "
"215","Mammaliaformes","Slices:DELTRAN","product.range","50:45",-2.68077781104255e+59,23,-0.099,1," "
"216","Mammaliaformes","Slices:DELTRAN","product.range","45:40",-1.78763565545774e+62,27,-0.097,1," "
"217","Mammaliaformes","Slices:DELTRAN","product.range","40:35",-2.08631038614275e+63,30,-0.066,1," "
"218","Mammaliaformes","Slices:DELTRAN","product.range","35:30",-3.32163557213214e+64,33,-0.074,1," "
"219","Mammaliaformes","Slices:DELTRAN","product.range","30:25",-2.95251310137955e+66,36,-0.105,1," "
"220","Mammaliaformes","Slices:DELTRAN","product.range","25:20",-3.8870378250557e+75,39,-0.079,1," "
"221","Mammaliaformes","Slices:DELTRAN","product.range","20:15",3.88703781559384e+75,39,0.079,1," "
"222","Mammaliaformes","Slices:DELTRAN","product.range","15:10",2.84255340903593e+66,38,0.015,1," "
"223","Mammaliaformes","Slices:DELTRAN","product.range","10:5",-1.77622933589204e+66,38,-0.01,1," "
"224","Mammaliaformes","Slices:DELTRAN","product.range","5:0",1.13835327216925e+67,38,0.081,1," "
"225","Mammaliaformes","Slices:gradual","product.range","170:165",7.46133115273194e+46,47,0.022,1," "
"226","Mammaliaformes","Slices:gradual","product.range","165:160",-3.29074678765417e+48,45,-0.047,1," "
"227","Mammaliaformes","Slices:gradual","product.range","160:155",3.32350645118429e+48,42,0.044,1," "
"228","Mammaliaformes","Slices:gradual","product.range","155:150",1.15422835594622e+46,34,0.064,1," "
"229","Mammaliaformes","Slices:gradual","product.range","150:145",-1.10682067449278e+37,30,-0.068,1," "
"230","Mammaliaformes","Slices:gradual","product.range","145:140",-5.17799199693122e+84,31,-0.086,1," "
"231","Mammaliaformes","Slices:gradual","product.range","140:135",-1.22331004975969e+93,36,-0.042,1," "
"232","Mammaliaformes","Slices:gradual","product.range","135:130",-2.02214963628517e+100,43,-0.033,1," "
"233","Mammaliaformes","Slices:gradual","product.range","130:125",2.02208675720821e+100,42,0.032,1," "
"234","Mammaliaformes","Slices:gradual","product.range","125:120",6.30014079720508e+95,33,0.047,1," "
"235","Mammaliaformes","Slices:gradual","product.range","120:115",-9.50393861178036e+83,26,-0.041,1," "
"236","Mammaliaformes","Slices:gradual","product.range","115:110",9.50393816660448e+83,24,0.038,1," "
"237","Mammaliaformes","Slices:gradual","product.range","110:105",-5.69720887119114e+79,22,-0.035,1," "
"238","Mammaliaformes","Slices:gradual","product.range","105:100",-2.76340960129799e+81,24,-0.07,1," "
"239","Mammaliaformes","Slices:gradual","product.range","100:95",-8.69752791106682e+86,29,-0.075,1," "
"240","Mammaliaformes","Slices:gradual","product.range","95:90",8.62991398100879e+86,31,0.079,1," "
"241","Mammaliaformes","Slices:gradual","product.range","90:85",-5.78461941980403e+87,30,-0.066,1," "
"242","Mammaliaformes","Slices:gradual","product.range","85:80",5.79138363323605e+87,33,0.072,1," "
"243","Mammaliaformes","Slices:gradual","product.range","80:75",1.18419015876092e+40,31,0.029,1," "
"244","Mammaliaformes","Slices:gradual","product.range","75:70",1.61353270370608e+30,23,0.07,1," "
"245","Mammaliaformes","Slices:gradual","product.range","70:65",-9.65211028077289e+72,21,-0.066,1," "
"246","Mammaliaformes","Slices:gradual","product.range","65:60",9.65211028077289e+72,19,0.06,1," "
"247","Mammaliaformes","Slices:gradual","product.range","60:55",-2.26981479413846e+53,17,-0.086,1," "
"248","Mammaliaformes","Slices:gradual","product.range","55:50",-2.803861383441e+59,19,-0.034,1," "
"249","Mammaliaformes","Slices:gradual","product.range","50:45",-3.11014931238247e+62,23,-0.047,1," "
"250","Mammaliaformes","Slices:gradual","product.range","45:40",-5.75544816004332e+73,27,-0.06,1," "
"251","Mammaliaformes","Slices:gradual","product.range","40:35",-3.14614584189337e+82,30,-0.035,1," "
"252","Mammaliaformes","Slices:gradual","product.range","35:30",-3.27355903871141e+84,33,-0.072,1," "
"253","Mammaliaformes","Slices:gradual","product.range","30:25",-2.12923518971825e+88,36,-0.037,1," "
"254","Mammaliaformes","Slices:gradual","product.range","25:20",-1.09854689469156e+96,39,-0.036,1," "
"255","Mammaliaformes","Slices:gradual","product.range","20:15",1.09854691598722e+96,39,0.036,1," "
"256","Mammaliaformes","Slices:gradual","product.range","15:10",3.93497855992228e+80,38,0.097,1," "
"257","Mammaliaformes","Slices:gradual","product.range","10:5",-210887571.29,38,-0.033,1," "
"258","Mammaliaformes","Slices:gradual","product.range","5:0",-875077264.46,38,-0.051,1," "
"259","Mammaliaformes","Intervals:tips","sum.variance","170.3-166.1:166.1-163.5",-0.01,11,-0.013,1," "
"260","Mammaliaformes","Intervals:tips","sum.variance","166.1-163.5:163.5-157.3",0.26,9,0.417,1," "
"261","Mammaliaformes","Intervals:tips","sum.variance","163.5-157.3:157.3-152.1",-0.32,13,-0.652,1," "
"262","Mammaliaformes","Intervals:tips","sum.variance","157.3-152.1:152.1-145",0.04,18,0.149,1," "
"263","Mammaliaformes","Intervals:tips","sum.variance","152.1-145:145-139.8",0.4,12,0.861,1," "
"264","Mammaliaformes","Intervals:tips","sum.variance","145-139.8:139.8-132.9",0.07,7,0.091,1," "
"265","Mammaliaformes","Intervals:tips","sum.variance","139.8-132.9:132.9-129.4",0.28,7,0.401,1," "
"266","Mammaliaformes","Intervals:tips","sum.variance","132.9-129.4:129.4-125",-0.97,18,-2.925,0.16277," "
"267","Mammaliaformes","Intervals:tips","sum.variance","129.4-125:125-113",0.02,26,0.108,1," "
"268","Mammaliaformes","Intervals:tips","sum.variance","125-113:113-100.5",0.15,20,0.587,1," "
"269","Mammaliaformes","Intervals:tips","sum.variance","113-100.5:100.5-93.9",0.36,12,0.712,1," "
"270","Mammaliaformes","Intervals:tips","sum.variance","100.5-93.9:93.9-89.8",0.33,7,0.403,1," "
"271","Mammaliaformes","Intervals:tips","sum.variance","93.9-89.8:89.8-86.3",-0.2,7,-0.256,1," "
"272","Mammaliaformes","Intervals:tips","sum.variance","89.8-86.3:86.3-83.6",0.26,7,0.328,1," "
"273","Mammaliaformes","Intervals:tips","sum.variance","86.3-83.6:83.6-72.1",-0.53,14,-1.105,1," "
"274","Mammaliaformes","Intervals:tips","sum.variance","83.6-72.1:72.1-66",0.19,18,0.586,1," "
"275","Mammaliaformes","Intervals:tips","sum.variance","72.1-66:66-61.6",0.21,12,0.443,1," "
"276","Mammaliaformes","Intervals:tips","sum.variance","66-61.6:61.6-0",-0.52,26,-1.699,1," "
"277","Mammaliaformes","Slices:DELTRAN","sum.variance","170:165",-2.8,47,-0.643,1," "
"278","Mammaliaformes","Slices:DELTRAN","sum.variance","165:160",2.21,45,0.482,1," "
"279","Mammaliaformes","Slices:DELTRAN","sum.variance","160:155",-4.83,42,-1.003,1," "
"280","Mammaliaformes","Slices:DELTRAN","sum.variance","155:150",10.18,34,1.592,1," "
"281","Mammaliaformes","Slices:DELTRAN","sum.variance","150:145",-3.39,30,-0.478,1," "
"282","Mammaliaformes","Slices:DELTRAN","sum.variance","145:140",2.78,31,0.408,1," "
"283","Mammaliaformes","Slices:DELTRAN","sum.variance","140:135",-5.26,36,-0.867,1," "
"284","Mammaliaformes","Slices:DELTRAN","sum.variance","135:130",-2.12,43,-0.44,1," "
"285","Mammaliaformes","Slices:DELTRAN","sum.variance","130:125",-3.89,42,-0.816,1," "
"286","Mammaliaformes","Slices:DELTRAN","sum.variance","125:120",9.57,33,1.557,1," "
"287","Mammaliaformes","Slices:DELTRAN","sum.variance","120:115",-0.66,26,-0.085,1," "
"288","Mammaliaformes","Slices:DELTRAN","sum.variance","115:110",5.79,24,0.634,1," "
"289","Mammaliaformes","Slices:DELTRAN","sum.variance","110:105",-2.96,22,-0.298,1," "
"290","Mammaliaformes","Slices:DELTRAN","sum.variance","105:100",0.02,24,0.003,1," "
"291","Mammaliaformes","Slices:DELTRAN","sum.variance","100:95",-1.45,29,-0.206,1," "
"292","Mammaliaformes","Slices:DELTRAN","sum.variance","95:90",0.73,31,0.114,1," "
"293","Mammaliaformes","Slices:DELTRAN","sum.variance","90:85",0.26,30,0.04,1," "
"294","Mammaliaformes","Slices:DELTRAN","sum.variance","85:80",-5.64,33,-0.929,1," "
"295","Mammaliaformes","Slices:DELTRAN","sum.variance","80:75",6.88,31,1.019,1," "
"296","Mammaliaformes","Slices:DELTRAN","sum.variance","75:70",8.02,23,0.82,1," "
"297","Mammaliaformes","Slices:DELTRAN","sum.variance","70:65",-6.95,21,-0.644,1," "
"298","Mammaliaformes","Slices:DELTRAN","sum.variance","65:60",11.79,19,0.954,1," "
"299","Mammaliaformes","Slices:DELTRAN","sum.variance","60:55",-4.23,17,-0.303,1," "
"300","Mammaliaformes","Slices:DELTRAN","sum.variance","55:50",-2.53,19,-0.212,1," "
"301","Mammaliaformes","Slices:DELTRAN","sum.variance","50:45",-3.79,23,-0.392,1," "
"302","Mammaliaformes","Slices:DELTRAN","sum.variance","45:40",-1.61,27,-0.204,1," "
"303","Mammaliaformes","Slices:DELTRAN","sum.variance","40:35",-1.01,30,-0.144,1," "
"304","Mammaliaformes","Slices:DELTRAN","sum.variance","35:30",-1.33,33,-0.215,1," "
"305","Mammaliaformes","Slices:DELTRAN","sum.variance","30:25",-0.1,36,-0.02,1," "
"306","Mammaliaformes","Slices:DELTRAN","sum.variance","25:20",-2.47,39,-0.501,1," "
"307","Mammaliaformes","Slices:DELTRAN","sum.variance","20:15",1.56,39,0.326,1," "
"308","Mammaliaformes","Slices:DELTRAN","sum.variance","15:10",0.06,38,0.013,1," "
"309","Mammaliaformes","Slices:DELTRAN","sum.variance","10:5",0.01,38,0.002,1," "
"310","Mammaliaformes","Slices:DELTRAN","sum.variance","5:0",-13.01,38,-3.016,0.15472," "
"311","Mammaliaformes","Slices:gradual","sum.variance","170:165",-2.38,47,-0.561,1," "
"312","Mammaliaformes","Slices:gradual","sum.variance","165:160",1.99,45,0.454,1," "
"313","Mammaliaformes","Slices:gradual","sum.variance","160:155",-2.93,42,-0.676,1," "
"314","Mammaliaformes","Slices:gradual","sum.variance","155:150",10.5,34,1.814,1," "
"315","Mammaliaformes","Slices:gradual","sum.variance","150:145",-3.91,30,-0.57,1," "
"316","Mammaliaformes","Slices:gradual","sum.variance","145:140",-0.63,31,-0.105,1," "
"317","Mammaliaformes","Slices:gradual","sum.variance","140:135",-1.65,36,-0.292,1," "
"318","Mammaliaformes","Slices:gradual","sum.variance","135:130",-4.61,43,-1.036,1," "
"319","Mammaliaformes","Slices:gradual","sum.variance","130:125",0.98,42,0.254,1," "
"320","Mammaliaformes","Slices:gradual","sum.variance","125:120",8.83,33,1.434,1," "
"321","Mammaliaformes","Slices:gradual","sum.variance","120:115",-1.99,26,-0.242,1," "
"322","Mammaliaformes","Slices:gradual","sum.variance","115:110",3.24,24,0.385,1," "
