species,extant,mass_g,FOD_Mya,LOD_Mya,Diet,source,tree,
Miacis,FALSE,,55.8,33.9,,pbdb,Beck,
Microbiotheriidae,TRUE,25,0.0117,0,,Slater (2013).,Slater,
Microgale,TRUE,,0.0117,0,insectivore-carnivore,pbdb,Beck,
Mimotona,FALSE,,58.7,55.8,,pbdb,Beck,
Mioclaenus,FALSE,,63.3,56.8,,pbdb,Beck,
Moeritherium,FALSE,,47.8,28.4,,pbdb,Beck,
Montanalestes,FALSE,9.84,112,112,,Slater (2013).,Slater,
Morganucodon,FALSE,89,203,199,,Luo et al. (2001).,Slater,
Muridae,TRUE,68.9398503,0,0,,Slater (2013).,Slater,
Murtoilestes,FALSE,50.15,125,125,,Slater (2013).,Beck,
Myrmecophagidae,TRUE,8398.16393,0,0,,Slater (2013).,Beck / Slater,
Nanolestes,FALSE,4.37,161.2,150.8,,Slater (2013).,Beck / Slater,
Notharctus,FALSE,,55.8,40.4,,pbdb,Beck,
Obdurodon,FALSE,2038,23.03,15.97,,Macrini et al. (2006).,Slater,
Ornithorhynchus_anatinus,TRUE,1484.25,0.0117,0,,Slater (2013).,Slater,
Orycteropus,TRUE,56175.2,28.1,0,,Slater (2013).,Beck,
Oxyclaenus,FALSE,,66,61.7,,pbdb,Beck,
Oxyprimus,FALSE,,66,56.8,,pbdb,Beck,
Pachygenelus,FALSE,,201.3,196.5,,pbdb,Slater,
Paramys,FALSE,,56,30.8,,pbdb,Beck,
Paranyctoides,FALSE,,89.8,66,,pbdb,Beck,
Parazhelestes,FALSE,,89.8,86.3,,pbdb,Beck,
Patriomanis,FALSE,,37.2,33.9,,pbdb,Beck,
Paulacoutoia,FALSE,,66.043,21,insectivore,Broad range from parent taxa,Beck,
Pediomys,FALSE,39.15,83.5,70.6,,Gordon (2003).,Slater,
Peramelidae_I,TRUE,769.712403,0.0117,0,,Slater (2013).,Slater,
Peramus,FALSE,,145,140.2,insectivore,pbdb,Beck / Slater,
Periptychus,FALSE,,66,56.8,,pbdb,Beck,
Pezosiren,FALSE,,47.8,41.3,,pbdb,Beck,
Phalangeridae,TRUE,2377.24511,0.0117,0,,Slater (2013).,Slater,
Phascolarctos_cinereus,TRUE,9300,0.0117,0,,pbdb + BM from Healy et al,Slater,
Phenacodus,FALSE,,63.3,48.6,,pbdb,Beck,
Plagiaulacidans,FALSE,31.78,167.7,61.7,,Slater (2013).,Slater,
Plesiadapis,FALSE,,61.6,50.3,,pbdb,Beck,
Potamogalinae,TRUE,,0.0117,0,insectivore-carnivore,pbdb,Beck,
Priacodon,FALSE,81.05,155.7,150.8,,Slater (2013).,Slater,
Probainognathus,FALSE,,242,237,,pbdb,Slater,
Procavia,TRUE,3600,5.333,0,herbivore,pbdb + BM from Healy et al,Beck,
Prokennalestes,FALSE,13.22,112,112,,Slater (2013).,Beck / Slater,
Protictis,FALSE,,66,40.4,,pbdb,Beck,
Protungulatum,FALSE,,70.6,63.3,,pbdb,Beck,
Pseudocheiridae,TRUE,780.577558,0.0117,0,,Slater (2013).,Slater,
Pseudotribos,FALSE,17.58,164,164,,Slater (2013).,Slater,
Ptilocercus,TRUE,,0.0117,0,insectivore-frugivore,pbdb,Beck,
Pucadelphys,FALSE,20,65.5,61.7,,Ladeveze et al. (2011).,Beck / Slater,
Purgatorius,FALSE,,66,56.8,,pbdb,Beck,
Pyrotherium,FALSE,,29,21,,pbdb,Beck,
Repenomamus,FALSE,10000,125.45,122.46,,Slater (2013).,Slater,
Rhombomylus,FALSE,,55.8,48.6,insectivore,pbdb,Beck,
Rhynchocyon,TRUE,,0.0117,0,insectivore,pbdb,Beck,
Sheikhdzheilia,FALSE,,105.3,93.5,,pbdb,Beck,
Shuotherium,FALSE,5.49,167,145,,Slater (2013).,Slater,
Simpsonotus,FALSE,,57,55.8,herbivore,Broad range from parent taxa (pbdb),Beck,
Sinoconodon,FALSE,517,203,199,,Luo et al. (2001).,Slater,
Sinodelphys,FALSE,40,125,125,,Luo et al. (2003).,Slater,
Solenodon,TRUE,,0.126,0,,pbdb,Beck,
Soricidae,TRUE,9.24033084,0.0117,0,,Slater (2013).,Beck,
Spalacotherium,FALSE,33.15,145.5,140.2,,Slater (2013).,Slater,
Steropodon,FALSE,2367.53,112.03,99.6,,Slater (2013).,Slater,
Sulestes,FALSE,122.89,89.3,85.5,,"Nessov (1985, 1993, 1997).",Slater,
Tachyglossus_aculeatus,TRUE,3500,0.0117,0,,pbdb + BM from Healy et al,Slater,
Teinolophos,FALSE,66.11,125.45,122.46,,Slater (2013).,Slater,
Thomashuxleya,FALSE,,55.8,48,,pbdb,Beck,
Thrinaxodon,FALSE,,252.17,251.2,carnivore,pbdb,Slater,
Thylacomyidae,TRUE,,0.0117,0,,pbdb,Slater,
Tinodon,FALSE,61.27,155.7,150.8,,Slater (2013).,Slater,
Todralestes,FALSE,,59.2,47.8,,pbdb,Beck,
Tribosphenomys,FALSE,,58.7,55.8,,pbdb,Beck,
Trichechus,TRUE,,23.03,0,,pbdb,Beck,
Trigonostylops,FALSE,,56,48,,pbdb,Beck,
Trioracodon,FALSE,,157.3,140.2,insectivore,pbdb,Slater,
Tritylodontids,FALSE,,221.5,125,,pbdb,Slater,
Turgidodon,FALSE,169,83.5,70.6,,Gordon (2003).,Slater,
Uchkudukodon,FALSE,,89.8,86.3,,pbdb,Beck,
Ukhaatherium,FALSE,32,75,75,,Horovitz (2003).,Beck / Slater,
unnamed_cimolestid,FALSE,,72.1,37.2,,pbdb,Beck,
unnamed_zalambdalestid,FALSE,,99.6,55.8,,pbdb,Beck,
Vincelestes,FALSE,1228,130,125.4,,Macrini et al. (2007).,Beck / Slater,
Vomabatidae,TRUE,37877.9706,0.0117,0,,Slater (2013).,Slater,
Vulpavus,FALSE,,55.8,38,,pbdb,Beck,
Widanelfarasia,FALSE,,33.9,28.1,,pbdb,Beck,
Yanoconodon,FALSE,17.06,130,125.4,,Slater (2013).,Slater,
Zalambdalestes,FALSE,59.89,75,75,,Archibald and Averianov (2006).,Beck / Slater,
Zhangheotherium,FALSE,70,130,125.4,,Hu et al. (1997).,Slater,
Zhangolestes,FALSE,,125,93.9,,pbdb,Beck,
Zhelestes,FALSE,,89.8,89.3,,pbdb,Beck,
