,extant,mass_g,FAD,LAD,Diet
Adapis,FALSE,1000,41.3,33.9,generalist
Cynocephalus,TRUE,1700,0.0117,0,generalist
Gomphos,FALSE,NA,58.7,48.6,specialist
Mimotona,FALSE,NA,58.7,55.8,specialist
Notharctus,FALSE,4200,55.8,40.4,generalist
Paramys,FALSE,2800,56,30.8,specialist
Plesiadapis,FALSE,2100,61.6,50.3,specialist
Ptilocercus,TRUE,62,0.0117,0,generalist
Purgatorius,FALSE,37,66,56.8,generalist
Rhombomylus,FALSE,460,55.8,48.6,specialist
Tribosphenomys,FALSE,NA,58.7,55.8,specialist
